sp-km,sp-tekst-r,line_number
0.0,Brussel-Noord,36
2.4,Schaarbeek,36
5.5,Haren-Zuid,36
7.0,Diegem,36
9.4,Zaventem,36
10.4,Zaventem,36
11.5,Nossegem,36
12.0,Nossegem,36
14.7,Kortenberg,36
16.1,Zavelstraat,36
17.8,Erps-Kwerps,36
19.2,Beisem,36
21.1,Veltem,36
24.0,Herent,36
28.8,Leuven,36
34.1,Korbeek-Lo,36
36.1,Lovenjoel,36
40.0,Vertrijk,36
42.0,Roosbeek,36
44.3,Kumtich,36
47.4,Tienen,36
53.8,Ezemaal,36
57.0,Neerwinden,36
60.7,Landen,36
64.0,Gingelom,36
69.0,Jeuk-Rosoux,36
71.5,Corswarem,36
74.5,Borgworm,36
77.2,Bleret,36
79.8,Remicourt,36
83.2,Momalle,36
85.4,Fexhe-le-Haut-Clocher,36
87.8,Voroux-Goreux,36
89.9,Bierset-Awans,36
93.4,Ans,36
94.7,Montegnée,36
97.0,Liège-Haut-Pré,36
99.9,Luik-Guillemins,36
