sp-km,sp-tekst-r,line_number
0.0,Brussel-Zuid,124
3.1,Vorst-Oost,124
4.0,Ukkel-Stalle,124
5.6,Ukkel-Kalevoet,124
7.4,Linkebeek,124
7.8,Linkebeek,124
9.1,Holleken,124
11.4,Sint-Genesius-Rode,124
12.6,De Hoek,124
15.5,Waterloo,124
18.8,Eigenbrakel,124
23.4,Lillois,124
28.1,Baulers,124
29.3,Nijvel,124
33.6,Bois-de-Nivelles,124
37.0,Obaix-Buzet,124
40.9,Luttre,124
43.4,La Chaussée,124
46.5,Courcelles-Motte,124
48.7,Roux,124
49.5,Monceau,124
52.9,Marchienne-au-Pont,124
53.7,Marchienne-Est,124
54.9,Marcinelle,124
55.9,Charleroi-Centraal,124
