sp-km,sp-tekst-r,line_number
3.8,Brussel-Zuid,96
3.9,Vorst-Zuid,96
6.0,Ruisbroek,96
9.1,Lot,96
11.1,Buizingen,96
12.3,Noord-Halle,96
13.6,Halle,96
16.0,Lembeek,96
18.1,Tubeke-Noord,96
18.7,Tubeke,96
20.9,Stéhoux,96
23.7,Hennuyères,96
25.5,Hennuyères-Village,96
29.6,'s-Gravenbrakel,96
35.8,Zinnik,96
41.1,Neufvilles,96
44.8,Masnuy-Saint-Pierre,96
48.6,Jurbeke,96
51.6,Erbisoeul,96
54.6,Ghlin,96
57.5,Nimy-Maisières,96
60.3,Bergen,96
62.2,Cuesmes,96
69.4,Genly,96
71.2,Blaregnies,96
74.9,Quévy,96
75.5,grens België - Frankrijk,96
