sp-km,sp-tekst-r,line_number
0.0,Oost Berchem,59
4.0,Antwerpen-Zuid,59
5.6,Antwerpen-Linkeroever vh. Vlaams Hoofd / Antwerpen-West,59
7.0,Antwerpen-Linkeroever (West 1970-1984),59
8.4,Zwijndrecht (OW4),59
9.1,Zwijndrecht,59
10.1,Zwijndrecht-Fort,59
12.1,Melsele,59
14.0,Beveren,59
15.1,Haasdonk,59
18.5,Westakkers,59
19.5,Nieuwkerken-Waas,59
21.6,Sint-Niklaas-Oost,59
22.7,Sint-Niklaas,59
25.3,Sint-Niklaas-West,59
32.0,Valk,59
27.1,Belsele,59
32.0,Heiken,59
33.7,Lokeren-Oost,59
35.7,Lokeren,59
35.8,Dender & Waas,59
38.4,Staakte,59
41.5,Zeveneken,59
43.6,Beervelde,59
46.8,Lochristi,59
49.5,Destelbergen,59
51.2,Westveld,59
53.0,Oostakker,59
54.5,Gent-Zeehaven,59
55.8,Gent-Dampoort,59
