route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,NMBS/SNCB,BUS,Lille Flandres (FR) -- Courtrai,,700,,,
10,NMBS/SNCB,BUS,Audenarde -- Zottegem,,700,,,
100,NMBS/SNCB,BUS,Charleroi-Central -- Couvin,,700,,,
101,NMBS/SNCB,BUS,Braine-le-Comte -- Saint-Ghislain,,700,,,
102,NMBS/SNCB,BUS,Mons -- Braine-le-Comte,,700,,,
103,NMBS/SNCB,BUS,Ottignies -- Charleroi-Central,,700,,,
104,NMBS/SNCB,BUS,Mouscron -- Courtrai,,700,,,
105,NMBS/SNCB,BUS,La Louvière-Sud -- Tournai,,700,,,
106,NMBS/SNCB,BUS,Mons -- La Louvière-Sud,,700,,,
107,NMBS/SNCB,BUS,Charleroi-Central -- Tilly,,700,,,
108,NMBS/SNCB,BUS,Bruxelles-Midi -- Ath,,700,,,
109,NMBS/SNCB,BUS,Charleroi-Central -- La Louvière-Centre,,700,,,
11,NMBS/SNCB,BUS,Londerzeel -- Termonde,,700,,,
110,NMBS/SNCB,BUS,Tournai -- Mouscron,,700,,,
111,NMBS/SNCB,BUS,Luttre -- Manage,,700,,,
112,NMBS/SNCB,BUS,La Louvière-Centre -- Manage,,700,,,
113,NMBS/SNCB,BUS,Nivelles -- Charleroi-Central,,700,,,
114,NMBS/SNCB,BUS,Binche -- Braine-le-Comte,,700,,,
115,NMBS/SNCB,BUS,Lille Flandres (FR) -- Tournai,,700,,,
116,NMBS/SNCB,BUS,La Louvière-Sud -- Manage,,700,,,
117,NMBS/SNCB,BUS,Mariembourg -- Couvin,,700,,,
118,NMBS/SNCB,BUS,Ottignies -- Fleurus,,700,,,
119,NMBS/SNCB,BUS,Lierre -- Aarschot,,700,,,
12,NMBS/SNCB,BUS,Ostende -- Gand-Saint-Pierre,,700,,,
120,NMBS/SNCB,BUS,Lierre -- Louvain,,700,,,
