route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
1,000001,87____:049::8728600:8889011:5:715:20241116,Courtrai,11000,,1,,1
1,000001,88____:049::8889011:8896008:3:748:20241116,Courtrai,11000,,1,,1
2,000002,88____:049::8892007:8896008:6:2516:20241121,Courtrai,11000,,2,,1
3,000003,88____:049::8895208:8895802:9:649:20241201,Denderleeuw,11000,,3,,1
4,000004,88____:049::8892908:8892601:2:925:20241126,Audenarde,11000,,4,,1
5,000005,88____:049::8896008:8896735:8:843:20241208,Poperinge,11000,,5,,1
6,000006,88____:049::8893542:8893401:5:752:20241110,Termonde,11000,,6,,1
7,000007,88____:049::8892106:8896008:4:2427:20241212,Courtrai,11000,,7,,1
8,000008,88____:049::8896008:8896305:4:2340:20250117,Menin,11000,,8,,1
9,000009,88____:049::8893401:8822004:7:826:20250119,Malines,11000,,9,,1
10,000010,88____:049::8895208:8892601:4:659:20250126,Audenarde,11000,,10,,1
4,000011,88____:049::8892601:8892908:2:855:20250112,Renaix,11000,,11,,1
11,000012,88____:049::8893401:8822111:5:651:20241222,Londerzeel,11000,,12,,1
12,000013,88____:049::8892007:8891702:11:213:20241117,Ostende,11000,,13,,1
1,000001,87____:049::8728600:8889011:5:815:20241116,Courtrai,11001,,14,,1
1,000001,88____:049::8889011:8896008:3:848:20241116,Courtrai,11001,,14,,1
3,000003,88____:049::8895208:8895802:9:749:20241201,Denderleeuw,11001,,15,,1
4,000004,88____:049::8892908:8892601:2:1025:20241126,Audenarde,11001,,16,,1
5,000005,88____:049::8896008:8896735:8:943:20241208,Poperinge,11001,,17,,1
6,000006,88____:049::8893542:8893401:5:852:20241110,Termonde,11001,,18,,1
7,000007,88____:049::8892106:8896008:4:2458:20241212,Courtrai,11001,,19,,1
13,000008,88____:049::8822814:8822715:3:2409:20250117,Puurs,11001,,20,,1
9,000009,88____:049::8893401:8822004:7:926:20250119,Malines,11001,,21,,1
10,000010,88____:049::8895208:8892601:4:759:20250126,Audenarde,11001,,22,,1
4,000014,88____:049::8892601:8892908:2:955:20250111,Renaix,11001,,23,,1
11,000012,88____:049::8893401:8822111:5:751:20241222,Londerzeel,11001,,24,,1
14,000013,88____:049::8892007:8891009:10:130:20241117,Bruges,11001,,25,,1
1,000015,87____:049::8728600:8889011:5:915:20241117,Courtrai,11002,,26,,1
1,000015,88____:049::8889011:8896008:3:948:20241117,Courtrai,11002,,26,,1
3,000003,88____:049::8895208:8895802:9:849:20241201,Denderleeuw,11002,,27,,1
15,000008,88____:049::8812047:8893401:10:2515:20250117,Termonde,11002,,28,,1
4,000004,88____:049::8892908:8892601:2:1125:20241126,Audenarde,11002,,29,,1
16,000007,88____:049::8892601:8896008:4:2421:20241212,Courtrai,11002,,30,,1
5,000005,88____:049::8896008:8896735:8:1043:20241208,Poperinge,11002,,31,,1
6,000006,88____:049::8893542:8893401:5:952:20241110,Termonde,11002,,32,,1
9,000009,88____:049::8893401:8822004:7:1026:20250119,Malines,11002,,33,,1
10,000010,88____:049::8895208:8892601:4:859:20250126,Audenarde,11002,,34,,1
4,000011,88____:049::8892601:8892908:2:1055:20250112,Renaix,11002,,35,,1
11,000012,88____:049::8893401:8822111:5:851:20241222,Londerzeel,11002,,36,,1
1,000015,87____:049::8728600:8889011:5:1015:20241117,Courtrai,11003,,37,,1
1,000015,88____:049::8889011:8896008:3:1048:20241117,Courtrai,11003,,37,,1
3,000003,88____:049::8895208:8895802:9:949:20241201,Denderleeuw,11003,,38,,1
4,000004,88____:049::8892908:8892601:2:1225:20241126,Audenarde,11003,,39,,1
5,000005,88____:049::8896008:8896735:8:1143:20241208,Poperinge,11003,,40,,1
6,000006,88____:049::8893542:8893401:5:1052:20241110,Termonde,11003,,41,,1
17,000008,88____:049::8892205:8896008:5:2434:20250117,Courtrai,11003,,42,,1
9,000009,88____:049::8893401:8822004:7:1126:20250119,Malines,11003,,43,,1
10,000010,88____:049::8895208:8892601:4:959:20250126,Audenarde,11003,,44,,1
4,000014,88____:049::8892601:8892908:2:1155:20250111,Renaix,11003,,45,,1
11,000012,88____:049::8893401:8822111:5:951:20241222,Londerzeel,11003,,46,,1
1,000015,87____:049::8728600:8889011:5:1115:20241117,Courtrai,11004,,47,,1
1,000015,88____:049::8889011:8896008:3:1148:20241117,Courtrai,11004,,47,,1
3,000003,88____:049::8895208:8895802:9:1049:20241201,Denderleeuw,11004,,48,,1
4,000004,88____:049::8892908:8892601:2:1325:20241126,Audenarde,11004,,49,,1
5,000005,88____:049::8896008:8896735:8:1243:20241208,Poperinge,11004,,50,,1
6,000006,88____:049::8893542:8893401:5:1152:20241110,Termonde,11004,,51,,1
9,000009,88____:049::8893401:8822004:7:1226:20250119,Malines,11004,,52,,1
10,000010,88____:049::8895208:8892601:4:1059:20250126,Audenarde,11004,,53,,1
4,000011,88____:049::8892601:8892908:2:1255:20250112,Renaix,11004,,54,,1
11,000012,88____:049::8893401:8822111:5:1051:20241222,Londerzeel,11004,,55,,1
1,000015,87____:049::8728600:8889011:5:1215:20241117,Courtrai,11005,,56,,1
1,000015,88____:049::8889011:8896008:3:1248:20241117,Courtrai,11005,,56,,1
3,000003,88____:049::8895208:8895802:9:1149:20241201,Denderleeuw,11005,,57,,1
5,000005,88____:049::8896008:8896735:8:1343:20241208,Poperinge,11005,,58,,1
6,000006,88____:049::8893542:8893401:5:1252:20241110,Termonde,11005,,59,,1
4,000004,88____:049::8892908:8892601:2:1359:20241126,Audenarde,11005,,60,,1
9,000009,88____:049::8893401:8822004:7:1326:20250119,Malines,11005,,61,,1
10,000010,88____:049::8895208:8892601:4:1159:20250126,Audenarde,11005,,62,,1
4,000014,88____:049::8892601:8892908:2:1355:20250111,Renaix,11005,,63,,1
11,000012,88____:049::8893401:8822111:5:1151:20241222,Londerzeel,11005,,64,,1
1,000015,87____:049::8728600:8889011:5:1315:20241117,Courtrai,11006,,65,,1
1,000015,88____:049::8889011:8896008:3:1348:20241117,Courtrai,11006,,65,,1
3,000003,88____:049::8895208:8895802:9:1249:20241201,Denderleeuw,11006,,66,,1
4,000004,88____:049::8892908:8892601:2:1425:20241126,Audenarde,11006,,67,,1
5,000005,88____:049::8896008:8896735:8:1443:20241208,Poperinge,11006,,68,,1
6,000006,88____:049::8893542:8893401:5:1352:20241110,Termonde,11006,,69,,1
9,000009,88____:049::8893401:8822004:7:1426:20250119,Malines,11006,,70,,1
10,000010,88____:049::8895208:8892601:4:1259:20250126,Audenarde,11006,,71,,1
4,000011,88____:049::8892601:8892908:2:1455:20250112,Renaix,11006,,72,,1
11,000012,88____:049::8893401:8822111:5:1251:20241222,Londerzeel,11006,,73,,1
1,000015,87____:049::8728600:8889011:5:1415:20241117,Courtrai,11007,,74,,1
1,000015,88____:049::8889011:8896008:3:1448:20241117,Courtrai,11007,,74,,1
3,000003,88____:049::8895208:8895802:9:1349:20241201,Denderleeuw,11007,,75,,1
4,000004,88____:049::8892601:8892908:2:957:20241126,Renaix,11007,,76,,1
5,000005,88____:049::8896008:8896735:8:1543:20241208,Poperinge,11007,,77,,1
6,000006,88____:049::8893542:8893401:5:1452:20241110,Termonde,11007,,78,,1
9,000009,88____:049::8893401:8822004:7:1526:20250119,Malines,11007,,79,,1
10,000010,88____:049::8895208:8892601:4:1359:20250126,Audenarde,11007,,80,,1
4,000014,88____:049::8892601:8892908:2:1555:20250111,Renaix,11007,,81,,1
11,000012,88____:049::8893401:8822111:5:1351:20241222,Londerzeel,11007,,82,,1
1,000015,87____:049::8728600:8889011:5:1515:20241117,Courtrai,11008,,83,,1
1,000015,88____:049::8889011:8896008:3:1548:20241117,Courtrai,11008,,83,,1
3,000003,88____:049::8895208:8895802:9:1449:20241201,Denderleeuw,11008,,84,,1
4,000004,88____:049::8892601:8892908:2:1057:20241126,Renaix,11008,,85,,1
5,000005,88____:049::8896008:8896735:8:1643:20241208,Poperinge,11008,,86,,1
6,000006,88____:049::8893542:8893401:5:1552:20241110,Termonde,11008,,87,,1
9,000009,88____:049::8893401:8822004:7:1626:20250119,Malines,11008,,88,,1
10,000010,88____:049::8895208:8892601:4:1459:20250126,Audenarde,11008,,89,,1
4,000011,88____:049::8892601:8892908:2:1655:20250112,Renaix,11008,,90,,1
11,000012,88____:049::8893401:8822111:5:1451:20241222,Londerzeel,11008,,91,,1
1,000015,87____:049::8728600:8889011:5:1615:20241117,Courtrai,11009,,92,,1
1,000015,88____:049::8889011:8896008:3:1648:20241117,Courtrai,11009,,92,,1
3,000003,88____:049::8895208:8895802:9:1549:20241201,Denderleeuw,11009,,93,,1
4,000004,88____:049::8892601:8892908:2:1157:20241126,Renaix,11009,,94,,1
5,000005,88____:049::8896008:8896735:8:1743:20241208,Poperinge,11009,,95,,1
6,000006,88____:049::8893542:8893401:5:1652:20241110,Termonde,11009,,96,,1
9,000009,88____:049::8893401:8822004:7:1726:20250119,Malines,11009,,97,,1
10,000010,88____:049::8895208:8892601:4:1559:20250126,Audenarde,11009,,98,,1
4,000014,88____:049::8892601:8892908:2:1755:20250111,Renaix,11009,,99,,1
11,000012,88____:049::8893401:8822111:5:1551:20241222,Londerzeel,11009,,100,,1
1,000015,87____:049::8728600:8889011:5:1715:20241117,Courtrai,11010,,101,,1
1,000015,88____:049::8889011:8896008:3:1748:20241117,Courtrai,11010,,101,,1
3,000003,88____:049::8895208:8895802:9:1649:20241201,Denderleeuw,11010,,102,,1
4,000004,88____:049::8892601:8892908:2:1257:20241126,Renaix,11010,,103,,1
5,000005,88____:049::8896008:8896735:8:1843:20241208,Poperinge,11010,,104,,1
6,000006,88____:049::8893542:8893401:5:1752:20241110,Termonde,11010,,105,,1
9,000009,88____:049::8893401:8822004:7:1826:20250119,Malines,11010,,106,,1
10,000010,88____:049::8895208:8892601:4:1659:20250126,Audenarde,11010,,107,,1
4,000011,88____:049::8892601:8892908:2:1855:20250112,Renaix,11010,,108,,1
11,000012,88____:049::8893401:8822111:5:1651:20241222,Londerzeel,11010,,109,,1
1,000015,87____:049::8728600:8889011:5:1815:20241117,Courtrai,11011,,110,,1
1,000015,88____:049::8889011:8896008:3:1848:20241117,Courtrai,11011,,110,,1
3,000003,88____:049::8895208:8895802:9:1749:20241201,Denderleeuw,11011,,111,,1
5,000005,88____:049::8896008:8896735:8:1943:20241208,Poperinge,11011,,112,,1
6,000006,88____:049::8893542:8893401:5:1852:20241110,Termonde,11011,,113,,1
4,000004,88____:049::8892601:8892908:2:1322:20241126,Renaix,11011,,114,,1
9,000009,88____:049::8893401:8822004:7:1926:20250119,Malines,11011,,115,,1
10,000010,88____:049::8895208:8892601:4:1759:20250126,Audenarde,11011,,116,,1
4,000014,88____:049::8892601:8892908:2:1955:20250111,Renaix,11011,,117,,1
11,000012,88____:049::8893401:8822111:5:1751:20241222,Londerzeel,11011,,118,,1
1,000015,87____:049::8728600:8889011:5:1915:20241117,Courtrai,11012,,119,,1
1,000015,88____:049::8889011:8896008:3:1948:20241117,Courtrai,11012,,119,,1
3,000003,88____:049::8895208:8895802:9:1849:20241201,Denderleeuw,11012,,120,,1
5,000005,88____:049::8896008:8896735:8:2043:20241208,Poperinge,11012,,121,,1
6,000006,88____:049::8893542:8893401:5:1952:20241110,Termonde,11012,,122,,1
4,000004,88____:049::8892601:8892908:2:1357:20241126,Renaix,11012,,123,,1
9,000009,88____:049::8893401:8822004:7:2026:20250119,Malines,11012,,124,,1
10,000010,88____:049::8895208:8892601:4:1859:20250126,Audenarde,11012,,125,,1
4,000011,88____:049::8892601:8892908:2:2055:20250112,Renaix,11012,,126,,1
11,000012,88____:049::8893401:8822111:5:1851:20241222,Londerzeel,11012,,127,,1
1,000015,87____:049::8728600:8889011:5:2015:20241117,Courtrai,11013,,128,,1
1,000015,88____:049::8889011:8896008:3:2048:20241117,Courtrai,11013,,128,,1
3,000003,88____:049::8895208:8895802:9:1949:20241201,Denderleeuw,11013,,129,,1
5,000005,88____:049::8896008:8896735:8:2143:20241208,Poperinge,11013,,130,,1
6,000006,88____:049::8893542:8893401:5:2052:20241110,Termonde,11013,,131,,1
4,000004,88____:049::8892601:8892908:2:1457:20241126,Renaix,11013,,132,,1
